TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:false, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:true, TOTAL_WALKER:true, TOTAL_REDUCER:false, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:true, PRECEDENCE:true, TOTAL_WALKER:false, TOTAL_REDUCER:true, ACCESS_CONTROL:false, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:true, GUI:false, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:true, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:true, CUT_NO_DEPARTMENT:false, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
TREE_STRUCTURE:true, LOGGING:false, CUT_WHATEVER:false, CUT_NO_DEPARTMENT:true, CUT_NO_MANAGER:false, GUI:true, PRECEDENCE:false, TOTAL_WALKER:false, TOTAL_REDUCER:false, ACCESS_CONTROL:true, 
