configuration,trace,description,,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:truecontrolplayist:falseshowcover:falseloadfolder:falseshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playOGGTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:truecontrolplayist:falseshowcover:falseloadfolder:falseshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",volumecontrolTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:truecontrolplayist:falseshowcover:trueloadfolder:falseshufflerepeat:falseogg:truemp3:falseskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playOGGTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",progressBarTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playModeTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playMP3Test(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",volumecontrolTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.driver.ComponentStateValidator.componentNotShowingOnScreenFailure(ComponentStateValidator.java:87)
",removeTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.junit.Assert.assertEquals(Assert.java:115)
",playModeTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",clearplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",removePlayListTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",removeTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true,"	at org.junit.Assert.assertEquals(Assert.java:115)
",playModeTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",removePlayListTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playSkipTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",removePlayListTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playSkipTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:falseshowcover:falseloadfolder:falseshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",removeTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.junit.Assert.assertEquals(Assert.java:115)
",playModeTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playSkipTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:truecontrolplayist:falseshowcover:falseloadfolder:falseshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",removeTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true,"	at org.junit.Assert.assertEquals(Assert.java:115)
",playModeTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",clearplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",removePlayListTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playSkipTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",clearplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:true,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playSkipTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",playModeTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:falseskins:trueclearplaylist:false,"Unable to find component using matcher org.fest.swing.core.TypeMatcher[type=javax.swing.JFileChooser, requireShowing=true].
",playOGGTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",playModeTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playSkipTrackTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",reorderplaylistTest(testset.AppGUITest),,,,
