VolumeControl:false, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:false, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, ProgressBar:false, Progress:true, ShowTime:true, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, ProgressBar:false, Progress:true, ShowTime:true, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, ProgressBar:true, Progress:true, ShowTime:false, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:true, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, ProgressBar:true, Progress:true, ShowTime:false, PlaylistControls:false, ShowCover:false, LoadFolder:false, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:false, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:false, QueueRemove:false, ReorderPlaylist:true, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:true, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:true, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:false, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:true, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:false, FileSupport:true, 
VolumeControl:false, SkipTrack:false, RemoveTrack:true, QueueRemove:false, ReorderPlaylist:false, Playlist:true, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, ProgressBar:true, Progress:true, ShowTime:true, PlaylistControls:true, ShowCover:false, LoadFolder:true, SkipRepeat:false, ShuffleRepeat:true, Base:true, Wave:true, MP3:true, Skins:true, Dark:true, ClearPlaylist:true, FileSupport:true, 
